---- ROAD FIGHTER SERIALIZED ----
Level: ADVANCED
Cycles: 0
Coins: 5
EllapsedTime: 13.026
Game Objects: 
>>> (5, 0)
░ (7, 0)
>>> (7, 1)
█ (7, 2) 3
¢ (8, 1)
>>> (8, 2)
¢ (9, 1)
← (11, 0)
>>> (12, 0)
█ (13, 0) 3
¢ (14, 0)
░ (17, 0)
☺ (19, 0) down
¢ (20, 2)
☺ (21, 0) down
░ (21, 2)
¢ (22, 0)
☺ (23, 0) down
░ (24, 0)
$ (24, 1)
☺ (25, 0) down
¢ (25, 1)
☺ (26, 0) down
░ (26, 2)
¢ (27, 0)
░ (27, 2)
░ (28, 1)
░ (29, 0)
█ (30, 2) 3
░ (31, 1)
¢ (31, 2)
☺ (34, 0) down
░ (35, 1)
← (37, 0)
¢ (38, 2)
¢ (39, 2)
¢ (40, 0)
░ (40, 1)
¢ (41, 2)
░ (42, 2)
░ (43, 1)
← (45, 2)
░ (46, 2)
░ (47, 0)
░ (48, 1)
░ (50, 2)
░ (51, 2)
¢ (52, 1)
░ (53, 1)
░ (54, 0)
>>> (55, 0)
☺ (57, 0) down
░ (57, 1)
← (58, 2)
¢ (61, 1)
░ (62, 1)
░ (63, 2)
☺ (64, 0) down
░ (64, 1)
░ (67, 1)
¢ (67, 2)
¢ (68, 2)
☺ (69, 0) down
← (69, 2)
░ (70, 1)
█ (72, 0) 3
¢ (72, 1)
☺ (73, 0) down
¢ (74, 0)
░ (75, 2)
░ (76, 2)
← (77, 0)
░ (78, 0)
← (78, 1)
░ (79, 0)
░ (80, 0)
░ (81, 2)
░ (82, 2)
¢ (83, 0)
¢ (84, 1)
¢ (85, 0)
░ (86, 0)
█ (87, 1) 3
¢ (88, 0)
░ (89, 0)
¢ (90, 1)
← (90, 2)
¢ (92, 0)
>>> (93, 1)
¢ (95, 0)
>>> (96, 0)
░ (97, 2)
>>> (98, 2)
░ (99, 0)
¢ (99, 1)
